ID,Username,Tweet,Sentiment,Location,Hashtags,Timestamp,Retweet_count,Like_count,Brand
t00001,vincentleslie,"Super impressed by the quality of Amazon at Paris, France! #TravelDiaries",positive,"Paris, France",['#TravelDiaries'],2024-12-13 00:46:25.223336,14,1872,Amazon
t00002,dbrown,"Absolutely loving the latest release by Amazon at Berlin, Germany! #TechNews #EcoFriendly",positive,"Berlin, Germany","['#TechNews', '#EcoFriendly']",2025-02-17 05:43:09.115235,642,925,Amazon
t00003,robertgarcia,"Frustrated by the poor service at Amazon at Los Angeles, USA! #EcoFriendly #NewLaunch",negative,"Los Angeles, USA","['#EcoFriendly', '#NewLaunch']",2024-10-24 04:09:35.894191,15,1085,Amazon
t00004,matthew11,"Not sure how to feel about Google at Port William, Senegal! #ShopSmart",neutral,"Port William, Senegal",['#ShopSmart'],2025-01-23 08:55:50.053547,358,971,Google
t00005,hjohnson,"Blown away by the quality of Amazon at Paris, France! #FitnessGoals #TechNews",positive,"Paris, France","['#FitnessGoals', '#TechNews']",2025-03-01 01:18:51.745147,544,1428,Amazon
t00006,willielopez,"Honestly, not happy with Amazon at North Eugene, Somalia! #EcoFriendly",negative,"North Eugene, Somalia",['#EcoFriendly'],2024-11-09 15:18:53.154236,733,1661,Amazon
t00007,longchristopher,"Another fantastic innovation from Apple at Paris, France! #TravelDiaries #Innovation",positive,"Paris, France","['#TravelDiaries', '#Innovation']",2024-04-30 12:02:28.547878,245,725,Apple
t00008,fosterjody,"First time trying products from Samsung at South David, Guinea! #EcoFriendly",neutral,"South David, Guinea",['#EcoFriendly'],2024-11-19 23:36:44.812090,51,1700,Samsung
t00009,denise07,"Just another update from Netflix at Scottmouth, British Indian Ocean Territory (Chagos Archipelago)! #Trending",neutral,"Scottmouth, British Indian Ocean Territory (Chagos Archipelago)",['#Trending'],2024-07-06 09:52:09.931540,767,2545,Netflix
t00010,byrdkathryn,"Super impressed by the quality of Nike at South Sherryhaven, Honduras! #NewLaunch #Innovation",positive,"South Sherryhaven, Honduras","['#NewLaunch', '#Innovation']",2024-08-17 04:41:21.673028,110,437,Nike
t00011,jonathondrake,"Not sure how to feel about Apple at Toronto, Canada! #EcoFriendly",neutral,"Toronto, Canada",['#EcoFriendly'],2024-12-26 05:19:32.005882,775,2773,Apple
t00012,enguyen,"Totally recommend checking out Apple at West Josephchester, United Kingdom! #EcoFriendly",positive,"West Josephchester, United Kingdom",['#EcoFriendly'],2025-04-11 10:28:44.639205,556,2044,Apple
t00013,shelbysanchez,"Really disappointed with the latest update from Apple at London, UK! #FitnessGoals",negative,"London, UK",['#FitnessGoals'],2025-03-23 20:18:01.557772,172,634,Apple
t00014,kwatts,"Blown away by the quality of Netflix at Tokyo, Japan! #TravelDiaries #NewLaunch",positive,"Tokyo, Japan","['#TravelDiaries', '#NewLaunch']",2024-12-05 02:16:34.850113,514,2066,Netflix
t00015,mthompson,"Checked out the new update of Netflix at Sydney, Australia! #ShopSmart #TechNews",neutral,"Sydney, Australia","['#ShopSmart', '#TechNews']",2025-04-08 12:56:59.654602,802,2168,Netflix
t00016,pgriffin,"Blown away by the quality of Nike at Tokyo, Japan! #TechNews #TravelDiaries",positive,"Tokyo, Japan","['#TechNews', '#TravelDiaries']",2024-07-26 00:20:18.258206,95,1887,Nike
